chrom	start	end	region	coverage	sample
MN908947.3	18896	19297	nCoV-2019_63	744	SRR13500958
MN908947.3	19204	19616	nCoV-2019_64	463	SRR13500958
MN908947.3	19548	19939	nCoV-2019_65	753	SRR13500958
MN908947.3	19844	20255	nCoV-2019_66	848	SRR13500958
MN908947.3	20172	20572	nCoV-2019_67	182	SRR13500958
MN908947.3	20472	20890	nCoV-2019_68	210	SRR13500958
MN908947.3	20786	21169	nCoV-2019_69	454	SRR13500958
MN908947.3	21075	21455	nCoV-2019_70	1441	SRR13500958
MN908947.3	21357	21743	nCoV-2019_71	1186	SRR13500958
MN908947.3	21658	22038	nCoV-2019_72	1076	SRR13500958
MN908947.3	21961	22346	nCoV-2019_73	893	SRR13500958
MN908947.3	22262	22650	nCoV-2019_74	1696	SRR13500958
MN908947.3	22516	22903	nCoV-2019_75	2239	SRR13500958
MN908947.3	22797	23214	nCoV-2019_76	710	SRR13500958
MN908947.3	23122	23522	nCoV-2019_77	952	SRR13500958
MN908947.3	23443	23847	nCoV-2019_78	257	SRR13500958
MN908947.3	23789	24169	nCoV-2019_79	365	SRR13500958
MN908947.3	24078	24467	nCoV-2019_80	579	SRR13500958
MN908947.3	24391	24789	nCoV-2019_81	658	SRR13500958
MN908947.3	24696	25076	nCoV-2019_82	1310	SRR13500958
MN908947.3	24978	25369	nCoV-2019_83	1031	SRR13500958
MN908947.3	25279	25673	nCoV-2019_84	607	SRR13500958
MN908947.3	25601	25994	nCoV-2019_85	103	SRR13500958
MN908947.3	25902	26315	nCoV-2019_86	1125	SRR13500958
MN908947.3	26197	26590	nCoV-2019_87	1007	SRR13500958
MN908947.3	26520	26913	nCoV-2019_88	762	SRR13500958
MN908947.3	26835	27227	nCoV-2019_89	1428	SRR13500958
MN908947.3	27141	27533	nCoV-2019_90	1333	SRR13500958
MN908947.3	27446	27854	nCoV-2019_91	602	SRR13500958
MN908947.3	27784	28172	nCoV-2019_92	942	SRR13500958
MN908947.3	28081	28464	nCoV-2019_93	1867	SRR13500958
MN908947.3	28394	28779	nCoV-2019_94	871	SRR13500958
MN908947.3	28677	29063	nCoV-2019_95	1436	SRR13500958
MN908947.3	28985	29378	nCoV-2019_96	591	SRR13500958
MN908947.3	29288	29693	nCoV-2019_97	1773	SRR13500958
MN908947.3	29486	29866	nCoV-2019_98	821	SRR13500958
