chrom	start	end	region	coverage	sample
MN908947.3	20172	20572	nCoV-2019_67	4206	ERR5556343
MN908947.3	20472	20890	nCoV-2019_68	275	ERR5556343
MN908947.3	20786	21169	nCoV-2019_69	533	ERR5556343
MN908947.3	21075	21455	nCoV-2019_70	4465	ERR5556343
MN908947.3	21357	21743	nCoV-2019_71	1724	ERR5556343
MN908947.3	21658	22038	nCoV-2019_72	2881	ERR5556343
MN908947.3	21961	22346	nCoV-2019_73	80	ERR5556343
MN908947.3	22262	22650	nCoV-2019_74	2847	ERR5556343
MN908947.3	22516	22903	nCoV-2019_75	3087	ERR5556343
MN908947.3	22797	23214	nCoV-2019_76	547	ERR5556343
MN908947.3	23122	23522	nCoV-2019_77	184	ERR5556343
MN908947.3	23443	23847	nCoV-2019_78	2230	ERR5556343
MN908947.3	23789	24169	nCoV-2019_79	143	ERR5556343
MN908947.3	24078	24467	nCoV-2019_80	1626	ERR5556343
MN908947.3	24391	24789	nCoV-2019_81	731	ERR5556343
MN908947.3	24696	25076	nCoV-2019_82	3308	ERR5556343
MN908947.3	24978	25369	nCoV-2019_83	1	ERR5556343
MN908947.3	25279	25673	nCoV-2019_84	8658	ERR5556343
MN908947.3	25601	25994	nCoV-2019_85	65	ERR5556343
MN908947.3	25902	26315	nCoV-2019_86	4088	ERR5556343
MN908947.3	26197	26590	nCoV-2019_87	2286	ERR5556343
MN908947.3	26520	26913	nCoV-2019_88	2288	ERR5556343
MN908947.3	26835	27227	nCoV-2019_89	3481	ERR5556343
MN908947.3	27141	27533	nCoV-2019_90	5065	ERR5556343
MN908947.3	27446	27854	nCoV-2019_91	2421	ERR5556343
MN908947.3	27784	28172	nCoV-2019_92	29	ERR5556343
MN908947.3	28081	28464	nCoV-2019_93	5963	ERR5556343
MN908947.3	28394	28779	nCoV-2019_94	9117	ERR5556343
MN908947.3	28677	29063	nCoV-2019_95	63	ERR5556343
MN908947.3	28985	29378	nCoV-2019_96	1899	ERR5556343
MN908947.3	29288	29693	nCoV-2019_97	1101	ERR5556343
MN908947.3	29486	29866	nCoV-2019_98	1091	ERR5556343
MN908947.3	30	410	nCoV-2019_1	675	ERR5405022
MN908947.3	320	726	nCoV-2019_2	598	ERR5405022
MN908947.3	642	1028	nCoV-2019_3	2066	ERR5405022
MN908947.3	943	1337	nCoV-2019_4	313	ERR5405022
MN908947.3	1242	1651	nCoV-2019_5	365	ERR5405022
MN908947.3	1573	1964	nCoV-2019_6	249	ERR5405022
MN908947.3	1868	2269	nCoV-2019_7	155	ERR5405022
MN908947.3	2181	2592	nCoV-2019_8	214	ERR5405022
MN908947.3	2504	2904	nCoV-2019_9	227	ERR5405022
MN908947.3	2826	3210	nCoV-2019_10	255	ERR5405022
MN908947.3	3144	3531	nCoV-2019_11	1514	ERR5405022
MN908947.3	3460	3853	nCoV-2019_12	203	ERR5405022
MN908947.3	3771	4164	nCoV-2019_13	356	ERR5405022
MN908947.3	4044	4450	nCoV-2019_14	569	ERR5405022
MN908947.3	4294	4696	nCoV-2019_15	1518	ERR5405022
MN908947.3	4636	5017	nCoV-2019_16	711	ERR5405022
MN908947.3	4939	5321	nCoV-2019_17	532	ERR5405022
MN908947.3	5230	5644	nCoV-2019_18	771	ERR5405022
MN908947.3	5563	5957	nCoV-2019_19	2066	ERR5405022
MN908947.3	5867	6272	nCoV-2019_20	226	ERR5405022
MN908947.3	6167	6550	nCoV-2019_21	2147	ERR5405022
MN908947.3	6466	6873	nCoV-2019_22	593	ERR5405022
MN908947.3	6718	7117	nCoV-2019_23	203	ERR5405022
MN908947.3	7035	7415	nCoV-2019_24	48	ERR5405022
MN908947.3	7305	7694	nCoV-2019_25	1131	ERR5405022
MN908947.3	7626	8019	nCoV-2019_26	350	ERR5405022
MN908947.3	7943	8341	nCoV-2019_27	1577	ERR5405022
MN908947.3	8249	8661	nCoV-2019_28	292	ERR5405022
MN908947.3	8595	8983	nCoV-2019_29	289	ERR5405022
MN908947.3	8888	9271	nCoV-2019_30	583	ERR5405022
MN908947.3	9204	9585	nCoV-2019_31	1345	ERR5405022
MN908947.3	9477	9858	nCoV-2019_32	750	ERR5405022
MN908947.3	9784	10171	nCoV-2019_33	408	ERR5405022
MN908947.3	10076	10459	nCoV-2019_34	655	ERR5405022
MN908947.3	10362	10763	nCoV-2019_35	1319	ERR5405022
MN908947.3	10666	11074	nCoV-2019_36	220	ERR5405022
MN908947.3	10999	11394	nCoV-2019_37	2480	ERR5405022
MN908947.3	11306	11693	nCoV-2019_38	474	ERR5405022
MN908947.3	11555	11949	nCoV-2019_39	2191	ERR5405022
MN908947.3	11863	12256	nCoV-2019_40	956	ERR5405022
MN908947.3	12110	12490	nCoV-2019_41	2217	ERR5405022
MN908947.3	12417	12802	nCoV-2019_42	1103	ERR5405022
MN908947.3	12710	13096	nCoV-2019_43	1166	ERR5405022
MN908947.3	13005	13400	nCoV-2019_44	1356	ERR5405022
MN908947.3	13307	13699	nCoV-2019_45	194	ERR5405022
MN908947.3	13599	13984	nCoV-2019_46	137	ERR5405022
MN908947.3	13918	14299	nCoV-2019_47	1067	ERR5405022
MN908947.3	14207	14601	nCoV-2019_48	773	ERR5405022
MN908947.3	14545	14926	nCoV-2019_49	2158	ERR5405022
MN908947.3	14865	15246	nCoV-2019_50	155	ERR5405022
MN908947.3	15171	15560	nCoV-2019_51	887	ERR5405022
MN908947.3	15481	15886	nCoV-2019_52	817	ERR5405022
MN908947.3	15827	16209	nCoV-2019_53	2627	ERR5405022
MN908947.3	16118	16510	nCoV-2019_54	555	ERR5405022
MN908947.3	16416	16833	nCoV-2019_55	1371	ERR5405022
MN908947.3	16748	17152	nCoV-2019_56	1181	ERR5405022
MN908947.3	17065	17452	nCoV-2019_57	2913	ERR5405022
MN908947.3	17381	17761	nCoV-2019_58	847	ERR5405022
MN908947.3	17674	18062	nCoV-2019_59	1326	ERR5405022
MN908947.3	17966	18348	nCoV-2019_60	689	ERR5405022
MN908947.3	18253	18672	nCoV-2019_61	2408	ERR5405022
MN908947.3	18596	18979	nCoV-2019_62	1173	ERR5405022
MN908947.3	18896	19297	nCoV-2019_63	1851	ERR5405022
MN908947.3	19204	19616	nCoV-2019_64	48	ERR5405022
MN908947.3	19548	19939	nCoV-2019_65	720	ERR5405022
MN908947.3	19844	20255	nCoV-2019_66	104	ERR5405022
MN908947.3	20172	20572	nCoV-2019_67	186	ERR5405022
MN908947.3	20472	20890	nCoV-2019_68	479	ERR5405022
MN908947.3	20786	21169	nCoV-2019_69	1435	ERR5405022
MN908947.3	21075	21455	nCoV-2019_70	64	ERR5405022
MN908947.3	21357	21743	nCoV-2019_71	302	ERR5405022
MN908947.3	21658	22038	nCoV-2019_72	248	ERR5405022
MN908947.3	21961	22346	nCoV-2019_73	507	ERR5405022
MN908947.3	22262	22650	nCoV-2019_74	6	ERR5405022
MN908947.3	22516	22903	nCoV-2019_75	1330	ERR5405022
MN908947.3	22797	23214	nCoV-2019_76	133	ERR5405022
MN908947.3	23122	23522	nCoV-2019_77	2339	ERR5405022
MN908947.3	23443	23847	nCoV-2019_78	400	ERR5405022
MN908947.3	23789	24169	nCoV-2019_79	380	ERR5405022
MN908947.3	24078	24467	nCoV-2019_80	421	ERR5405022
MN908947.3	24391	24789	nCoV-2019_81	1164	ERR5405022
MN908947.3	24696	25076	nCoV-2019_82	1057	ERR5405022
MN908947.3	24978	25369	nCoV-2019_83	1788	ERR5405022
MN908947.3	25279	25673	nCoV-2019_84	600	ERR5405022
MN908947.3	25601	25994	nCoV-2019_85	405	ERR5405022
MN908947.3	25902	26315	nCoV-2019_86	5	ERR5405022
MN908947.3	26197	26590	nCoV-2019_87	1624	ERR5405022
MN908947.3	26520	26913	nCoV-2019_88	669	ERR5405022
MN908947.3	26835	27227	nCoV-2019_89	423	ERR5405022
MN908947.3	27141	27533	nCoV-2019_90	685	ERR5405022
MN908947.3	27446	27854	nCoV-2019_91	21	ERR5405022
MN908947.3	27784	28172	nCoV-2019_92	380	ERR5405022
MN908947.3	28081	28464	nCoV-2019_93	1626	ERR5405022
MN908947.3	28394	28779	nCoV-2019_94	318	ERR5405022
MN908947.3	28677	29063	nCoV-2019_95	376	ERR5405022
MN908947.3	28985	29378	nCoV-2019_96	473	ERR5405022
MN908947.3	29288	29693	nCoV-2019_97	1423	ERR5405022
MN908947.3	29486	29866	nCoV-2019_98	838	ERR5405022
MN908947.3	30	410	nCoV-2019_1	9	ERR5743893
MN908947.3	320	726	nCoV-2019_2	311	ERR5743893
MN908947.3	642	1028	nCoV-2019_3	507	ERR5743893
MN908947.3	943	1337	nCoV-2019_4	1021	ERR5743893
MN908947.3	1242	1651	nCoV-2019_5	495	ERR5743893
MN908947.3	1573	1964	nCoV-2019_6	1325	ERR5743893
MN908947.3	1868	2269	nCoV-2019_7	150	ERR5743893
MN908947.3	2181	2592	nCoV-2019_8	429	ERR5743893
MN908947.3	2504	2904	nCoV-2019_9	334	ERR5743893
MN908947.3	2826	3210	nCoV-2019_10	235	ERR5743893
MN908947.3	3144	3531	nCoV-2019_11	552	ERR5743893
MN908947.3	3460	3853	nCoV-2019_12	267	ERR5743893
MN908947.3	3771	4164	nCoV-2019_13	134	ERR5743893
MN908947.3	4044	4450	nCoV-2019_14	348	ERR5743893
MN908947.3	4294	4696	nCoV-2019_15	348	ERR5743893
MN908947.3	4636	5017	nCoV-2019_16	731	ERR5743893
MN908947.3	4939	5321	nCoV-2019_17	0	ERR5743893
MN908947.3	5230	5644	nCoV-2019_18	189	ERR5743893
MN908947.3	5563	5957	nCoV-2019_19	280	ERR5743893
MN908947.3	5867	6272	nCoV-2019_20	547	ERR5743893
MN908947.3	6167	6550	nCoV-2019_21	488	ERR5743893
MN908947.3	6466	6873	nCoV-2019_22	430	ERR5743893
MN908947.3	6718	7117	nCoV-2019_23	460	ERR5743893
MN908947.3	7035	7415	nCoV-2019_24	151	ERR5743893
MN908947.3	7305	7694	nCoV-2019_25	456	ERR5743893
MN908947.3	7626	8019	nCoV-2019_26	1784	ERR5743893
MN908947.3	7943	8341	nCoV-2019_27	641	ERR5743893
MN908947.3	8249	8661	nCoV-2019_28	578	ERR5743893
MN908947.3	8595	8983	nCoV-2019_29	177	ERR5743893
MN908947.3	8888	9271	nCoV-2019_30	1154	ERR5743893
MN908947.3	9204	9585	nCoV-2019_31	17	ERR5743893
MN908947.3	9477	9858	nCoV-2019_32	1177	ERR5743893
MN908947.3	9784	10171	nCoV-2019_33	412	ERR5743893
MN908947.3	10076	10459	nCoV-2019_34	2913	ERR5743893
MN908947.3	10362	10763	nCoV-2019_35	1097	ERR5743893
MN908947.3	10666	11074	nCoV-2019_36	20	ERR5743893
MN908947.3	10999	11394	nCoV-2019_37	1927	ERR5743893
MN908947.3	11306	11693	nCoV-2019_38	579	ERR5743893
MN908947.3	11555	11949	nCoV-2019_39	615	ERR5743893
MN908947.3	11863	12256	nCoV-2019_40	6127	ERR5743893
MN908947.3	12110	12490	nCoV-2019_41	1085	ERR5743893
MN908947.3	12417	12802	nCoV-2019_42	753	ERR5743893
MN908947.3	12710	13096	nCoV-2019_43	57	ERR5743893
MN908947.3	13005	13400	nCoV-2019_44	2806	ERR5743893
MN908947.3	13307	13699	nCoV-2019_45	538	ERR5743893
MN908947.3	13599	13984	nCoV-2019_46	149	ERR5743893
MN908947.3	13918	14299	nCoV-2019_47	1125	ERR5743893
MN908947.3	14207	14601	nCoV-2019_48	58	ERR5743893
MN908947.3	14545	14926	nCoV-2019_49	369	ERR5743893
MN908947.3	14865	15246	nCoV-2019_50	684	ERR5743893
MN908947.3	15171	15560	nCoV-2019_51	490	ERR5743893
MN908947.3	15481	15886	nCoV-2019_52	1297	ERR5743893
MN908947.3	15827	16209	nCoV-2019_53	423	ERR5743893
MN908947.3	16118	16510	nCoV-2019_54	216	ERR5743893
MN908947.3	16416	16833	nCoV-2019_55	1580	ERR5743893
MN908947.3	16748	17152	nCoV-2019_56	1764	ERR5743893
MN908947.3	17065	17452	nCoV-2019_57	235	ERR5743893
MN908947.3	17381	17761	nCoV-2019_58	1411	ERR5743893
MN908947.3	17674	18062	nCoV-2019_59	485	ERR5743893
MN908947.3	17966	18348	nCoV-2019_60	823	ERR5743893
MN908947.3	18253	18672	nCoV-2019_61	756	ERR5743893
MN908947.3	18596	18979	nCoV-2019_62	5967	ERR5743893
MN908947.3	18896	19297	nCoV-2019_63	1341	ERR5743893
MN908947.3	19204	19616	nCoV-2019_64	861	ERR5743893
MN908947.3	19548	19939	nCoV-2019_65	737	ERR5743893
MN908947.3	19844	20255	nCoV-2019_66	256	ERR5743893
MN908947.3	20172	20572	nCoV-2019_67	817	ERR5743893
MN908947.3	20472	20890	nCoV-2019_68	329	ERR5743893
MN908947.3	20786	21169	nCoV-2019_69	604	ERR5743893
MN908947.3	21075	21455	nCoV-2019_70	1413	ERR5743893
MN908947.3	21357	21743	nCoV-2019_71	973	ERR5743893
MN908947.3	21658	22038	nCoV-2019_72	39	ERR5743893
MN908947.3	21961	22346	nCoV-2019_73	40	ERR5743893
MN908947.3	22262	22650	nCoV-2019_74	1013	ERR5743893
MN908947.3	22516	22903	nCoV-2019_75	1859	ERR5743893
MN908947.3	22797	23214	nCoV-2019_76	281	ERR5743893
MN908947.3	23122	23522	nCoV-2019_77	400	ERR5743893
MN908947.3	23443	23847	nCoV-2019_78	1150	ERR5743893
MN908947.3	23789	24169	nCoV-2019_79	98	ERR5743893
MN908947.3	24078	24467	nCoV-2019_80	1092	ERR5743893
MN908947.3	24391	24789	nCoV-2019_81	719	ERR5743893
MN908947.3	24696	25076	nCoV-2019_82	2858	ERR5743893
MN908947.3	24978	25369	nCoV-2019_83	18	ERR5743893
MN908947.3	25279	25673	nCoV-2019_84	5002	ERR5743893
MN908947.3	25601	25994	nCoV-2019_85	32	ERR5743893
MN908947.3	25902	26315	nCoV-2019_86	1830	ERR5743893
MN908947.3	26197	26590	nCoV-2019_87	1001	ERR5743893
MN908947.3	26520	26913	nCoV-2019_88	768	ERR5743893
MN908947.3	26835	27227	nCoV-2019_89	3096	ERR5743893
MN908947.3	27141	27533	nCoV-2019_90	1965	ERR5743893
MN908947.3	27446	27854	nCoV-2019_91	1325	ERR5743893
MN908947.3	27784	28172	nCoV-2019_92	374	ERR5743893
MN908947.3	28081	28464	nCoV-2019_93	3912	ERR5743893
MN908947.3	28394	28779	nCoV-2019_94	3448	ERR5743893
MN908947.3	28677	29063	nCoV-2019_95	124	ERR5743893
MN908947.3	28985	29378	nCoV-2019_96	1050	ERR5743893
MN908947.3	29288	29693	nCoV-2019_97	818	ERR5743893
MN908947.3	29486	29866	nCoV-2019_98	817	ERR5743893
MN908947.3	30	410	nCoV-2019_1	909	SRR13500958
MN908947.3	320	726	nCoV-2019_2	254	SRR13500958
MN908947.3	642	1028	nCoV-2019_3	1168	SRR13500958
MN908947.3	943	1337	nCoV-2019_4	1104	SRR13500958
MN908947.3	1242	1651	nCoV-2019_5	793	SRR13500958
MN908947.3	1573	1964	nCoV-2019_6	758	SRR13500958
MN908947.3	1868	2269	nCoV-2019_7	607	SRR13500958
MN908947.3	2181	2592	nCoV-2019_8	398	SRR13500958
MN908947.3	2504	2904	nCoV-2019_9	233	SRR13500958
MN908947.3	2826	3210	nCoV-2019_10	364	SRR13500958
MN908947.3	3144	3531	nCoV-2019_11	503	SRR13500958
MN908947.3	3460	3853	nCoV-2019_12	1377	SRR13500958
MN908947.3	3771	4164	nCoV-2019_13	538	SRR13500958
MN908947.3	4044	4450	nCoV-2019_14	1050	SRR13500958
MN908947.3	4294	4696	nCoV-2019_15	875	SRR13500958
MN908947.3	4636	5017	nCoV-2019_16	533	SRR13500958
MN908947.3	4939	5321	nCoV-2019_17	921	SRR13500958
MN908947.3	5230	5644	nCoV-2019_18	66	SRR13500958
MN908947.3	5563	5957	nCoV-2019_19	1066	SRR13500958
MN908947.3	5867	6272	nCoV-2019_20	100	SRR13500958
MN908947.3	6167	6550	nCoV-2019_21	219	SRR13500958
MN908947.3	6466	6873	nCoV-2019_22	883	SRR13500958
MN908947.3	6718	7117	nCoV-2019_23	1640	SRR13500958
MN908947.3	7035	7415	nCoV-2019_24	143	SRR13500958
MN908947.3	7305	7694	nCoV-2019_25	667	SRR13500958
MN908947.3	7626	8019	nCoV-2019_26	647	SRR13500958
MN908947.3	7943	8341	nCoV-2019_27	936	SRR13500958
MN908947.3	8249	8661	nCoV-2019_28	846	SRR13500958
MN908947.3	8595	8983	nCoV-2019_29	40	SRR13500958
MN908947.3	8888	9271	nCoV-2019_30	121	SRR13500958
MN908947.3	9204	9585	nCoV-2019_31	414	SRR13500958
MN908947.3	9477	9858	nCoV-2019_32	126	SRR13500958
MN908947.3	9784	10171	nCoV-2019_33	234	SRR13500958
MN908947.3	10076	10459	nCoV-2019_34	1091	SRR13500958
MN908947.3	10362	10763	nCoV-2019_35	358	SRR13500958
MN908947.3	10666	11074	nCoV-2019_36	93	SRR13500958
MN908947.3	10999	11394	nCoV-2019_37	792	SRR13500958
MN908947.3	11306	11693	nCoV-2019_38	1471	SRR13500958
MN908947.3	11555	11949	nCoV-2019_39	750	SRR13500958
MN908947.3	11863	12256	nCoV-2019_40	1222	SRR13500958
MN908947.3	12110	12490	nCoV-2019_41	1162	SRR13500958
MN908947.3	12417	12802	nCoV-2019_42	360	SRR13500958
MN908947.3	12710	13096	nCoV-2019_43	684	SRR13500958
MN908947.3	13005	13400	nCoV-2019_44	702	SRR13500958
MN908947.3	13307	13699	nCoV-2019_45	64	SRR13500958
MN908947.3	13599	13984	nCoV-2019_46	922	SRR13500958
MN908947.3	13918	14299	nCoV-2019_47	1170	SRR13500958
MN908947.3	14207	14601	nCoV-2019_48	781	SRR13500958
MN908947.3	14545	14926	nCoV-2019_49	782	SRR13500958
MN908947.3	14865	15246	nCoV-2019_50	706	SRR13500958
MN908947.3	15171	15560	nCoV-2019_51	1137	SRR13500958
MN908947.3	15481	15886	nCoV-2019_52	1242	SRR13500958
MN908947.3	15827	16209	nCoV-2019_53	1133	SRR13500958
MN908947.3	16118	16510	nCoV-2019_54	134	SRR13500958
MN908947.3	16416	16833	nCoV-2019_55	314	SRR13500958
MN908947.3	16748	17152	nCoV-2019_56	560	SRR13500958
MN908947.3	17065	17452	nCoV-2019_57	1375	SRR13500958
MN908947.3	17381	17761	nCoV-2019_58	955	SRR13500958
MN908947.3	17674	18062	nCoV-2019_59	565	SRR13500958
MN908947.3	17966	18348	nCoV-2019_60	840	SRR13500958
MN908947.3	18253	18672	nCoV-2019_61	538	SRR13500958
MN908947.3	18596	18979	nCoV-2019_62	543	SRR13500958
MN908947.3	18896	19297	nCoV-2019_63	744	SRR13500958
MN908947.3	19204	19616	nCoV-2019_64	463	SRR13500958
MN908947.3	19548	19939	nCoV-2019_65	753	SRR13500958
MN908947.3	19844	20255	nCoV-2019_66	848	SRR13500958
MN908947.3	20172	20572	nCoV-2019_67	182	SRR13500958
MN908947.3	20472	20890	nCoV-2019_68	210	SRR13500958
MN908947.3	20786	21169	nCoV-2019_69	454	SRR13500958
MN908947.3	21075	21455	nCoV-2019_70	1441	SRR13500958
MN908947.3	21357	21743	nCoV-2019_71	1186	SRR13500958
MN908947.3	21658	22038	nCoV-2019_72	1076	SRR13500958
MN908947.3	21961	22346	nCoV-2019_73	893	SRR13500958
MN908947.3	22262	22650	nCoV-2019_74	1696	SRR13500958
MN908947.3	22516	22903	nCoV-2019_75	2239	SRR13500958
MN908947.3	22797	23214	nCoV-2019_76	710	SRR13500958
MN908947.3	23122	23522	nCoV-2019_77	952	SRR13500958
MN908947.3	23443	23847	nCoV-2019_78	257	SRR13500958
MN908947.3	23789	24169	nCoV-2019_79	365	SRR13500958
MN908947.3	24078	24467	nCoV-2019_80	579	SRR13500958
MN908947.3	24391	24789	nCoV-2019_81	658	SRR13500958
MN908947.3	24696	25076	nCoV-2019_82	1310	SRR13500958
MN908947.3	24978	25369	nCoV-2019_83	1031	SRR13500958
MN908947.3	25279	25673	nCoV-2019_84	607	SRR13500958
MN908947.3	25601	25994	nCoV-2019_85	103	SRR13500958
MN908947.3	25902	26315	nCoV-2019_86	1125	SRR13500958
MN908947.3	26197	26590	nCoV-2019_87	1007	SRR13500958
MN908947.3	26520	26913	nCoV-2019_88	762	SRR13500958
MN908947.3	26835	27227	nCoV-2019_89	1428	SRR13500958
MN908947.3	27141	27533	nCoV-2019_90	1333	SRR13500958
MN908947.3	27446	27854	nCoV-2019_91	602	SRR13500958
MN908947.3	27784	28172	nCoV-2019_92	942	SRR13500958
MN908947.3	28081	28464	nCoV-2019_93	1867	SRR13500958
MN908947.3	28394	28779	nCoV-2019_94	871	SRR13500958
MN908947.3	28677	29063	nCoV-2019_95	1436	SRR13500958
MN908947.3	28985	29378	nCoV-2019_96	591	SRR13500958
MN908947.3	29288	29693	nCoV-2019_97	1773	SRR13500958
MN908947.3	29486	29866	nCoV-2019_98	821	SRR13500958
MN908947.3	30	410	nCoV-2019_1	4405	ERR5181310
MN908947.3	320	726	nCoV-2019_2	799	ERR5181310
MN908947.3	642	1028	nCoV-2019_3	10446	ERR5181310
MN908947.3	943	1337	nCoV-2019_4	1828	ERR5181310
MN908947.3	1242	1651	nCoV-2019_5	0	ERR5181310
MN908947.3	1573	1964	nCoV-2019_6	2907	ERR5181310
MN908947.3	1868	2269	nCoV-2019_7	17531	ERR5181310
MN908947.3	2181	2592	nCoV-2019_8	2899	ERR5181310
MN908947.3	2504	2904	nCoV-2019_9	13758	ERR5181310
MN908947.3	2826	3210	nCoV-2019_10	1451	ERR5181310
MN908947.3	3144	3531	nCoV-2019_11	18582	ERR5181310
MN908947.3	3460	3853	nCoV-2019_12	3601	ERR5181310
MN908947.3	3771	4164	nCoV-2019_13	6930	ERR5181310
MN908947.3	4044	4450	nCoV-2019_14	6929	ERR5181310
MN908947.3	4294	4696	nCoV-2019_15	10411	ERR5181310
MN908947.3	4636	5017	nCoV-2019_16	2055	ERR5181310
MN908947.3	4939	5321	nCoV-2019_17	15969	ERR5181310
MN908947.3	5230	5644	nCoV-2019_18	771	ERR5181310
MN908947.3	5563	5957	nCoV-2019_19	16198	ERR5181310
MN908947.3	5867	6272	nCoV-2019_20	2633	ERR5181310
MN908947.3	6167	6550	nCoV-2019_21	20251	ERR5181310
MN908947.3	6466	6873	nCoV-2019_22	2974	ERR5181310
MN908947.3	6718	7117	nCoV-2019_23	18871	ERR5181310
MN908947.3	7035	7415	nCoV-2019_24	157	ERR5181310
MN908947.3	7305	7694	nCoV-2019_25	23180	ERR5181310
MN908947.3	7626	8019	nCoV-2019_26	3399	ERR5181310
MN908947.3	7943	8341	nCoV-2019_27	14374	ERR5181310
MN908947.3	8249	8661	nCoV-2019_28	2417	ERR5181310
MN908947.3	8595	8983	nCoV-2019_29	8692	ERR5181310
MN908947.3	8888	9271	nCoV-2019_30	3948	ERR5181310
MN908947.3	9204	9585	nCoV-2019_31	3438	ERR5181310
MN908947.3	9477	9858	nCoV-2019_32	877	ERR5181310
MN908947.3	9784	10171	nCoV-2019_33	5003	ERR5181310
MN908947.3	10076	10459	nCoV-2019_34	4062	ERR5181310
MN908947.3	10362	10763	nCoV-2019_35	14381	ERR5181310
MN908947.3	10666	11074	nCoV-2019_36	314	ERR5181310
MN908947.3	10999	11394	nCoV-2019_37	14161	ERR5181310
MN908947.3	11306	11693	nCoV-2019_38	1508	ERR5181310
MN908947.3	11555	11949	nCoV-2019_39	15273	ERR5181310
